"","Nest","TLbiom","Date","Latitude","Longitude","BaskLen","BaskWid","BaskHeight","GroundHeight","TangleHeight","Condition","Notes","BasketCrossSection_cm2","NumSpiders","Treatment","AvgPreySze","LogPreySze","AvgPreySze_incl0","LogAvgPreySzeIncl0","AvgPreySze_NoOut","LogAvgPreySze_NoOut","TLNumPrey.x","TLNumPrey.y","NumObsHours","NumPrey_Hr_Cap","Biomass_mg","Biomass_hr_capita","LogBiomass_hr_capita","LogBaskCrossSect_cm2","LogNumPrey_Hr_Capita"
"11","Ex_06",1.10669261628484,"24 July 2018",-1.04573,-77.71194,40,30,8,60,100,"fair","",942.48,58.589052377463,"Control",7,0.845098040014257,1.55555555555556,0.191885526238913,7,0.845098040014257,3,3,20,0.00256020525871655,0.368897538761613,0.000314817806221691,-3.50194071174777,2.97427214298202,-2.59172521470594
"12","Ex_06",1.10669261628484,"24 July 2018",-1.04573,-77.71194,40,30,8,60,100,"fair","",942.48,58.589052377463,"Experimental",7,0.845098040014257,1.55555555555556,0.191885526238913,7,0.845098040014257,3,3,20,0.00256020525871655,0.368897538761613,0.000314817806221691,-3.50194071174777,2.97427214298202,-2.59172521470594
"13","Ex_07",70.1902687377869,"24 July 2018",-1.04573,-77.71194,43,35,20,55,115,"good","",1182.02,82.719444334911,"Control",1.75,0.243038048686294,1.79310344827586,0.253605345735843,5.77777777777778,0.761760834195474,7,7,18,0.00470129957975022,10.0271812482553,0.00673439756978597,-2.17170124831807,3.07262482495146,-2.32778207349012
"14","Ex_07",70.1902687377869,"24 July 2018",-1.04573,-77.71194,43,35,20,55,115,"good","",1182.02,82.719444334911,"Experimental",9,0.954242509439325,1.79310344827586,0.253605345735843,5.77777777777778,0.761760834195474,7,7,18,0.00470129957975022,10.0271812482553,0.00673439756978597,-2.17170124831807,3.07262482495146,-2.32778207349012
"15","Ex_09",142.648657592797,"5 July 2018",-1.07223,-77.61559,66,57,23,106,300,"good","",2954.67,333.875983647628,"Control",7.25,0.860338006570994,5.15151515151515,0.711934981500386,7.72727272727273,0.888026240556068,19,19,18,0.00316151986741756,7.50782408383144,0.0012492702632689,-2.90334359753517,3.47050898261758,-2.50010408467705
"16","Ex_09",142.648657592797,"5 July 2018",-1.07223,-77.61559,66,57,23,106,300,"good","",2954.67,333.875983647628,"Experimental",9,0.954242509439325,5.15151515151515,0.711934981500386,7.72727272727273,0.888026240556068,19,19,20,0.00284536788067581,7.50782408383144,0.00112434323694201,-2.94910108809584,3.47050898261758,-2.54586157523772
"17","Ex_10",0.263047866122895,"5 July 2018",-1.06736,-77.61691,23,22,6,81,40,"good","",397.41,15.7268114035076,"Control",8.5,0.929418925714293,0.730769230769231,-0.136219747017989,6.33333333333333,0.801632346233166,2,2,20,0.00635856801701691,0.131523933061448,0.000418151937118397,-3.37866588697465,2.59923879103293,-2.19664067874315
"18","Ex_10",0.263047866122895,"5 July 2018",-1.06736,-77.61691,23,22,6,81,40,"good","",397.41,15.7268114035076,"Experimental",2,0.301029995663981,0.730769230769231,-0.136219747017989,6.33333333333333,0.801632346233166,2,2,20,0.00635856801701691,0.131523933061448,0.000418151937118397,-3.37866588697465,2.59923879103293,-2.19664067874315
"19","Ex_11",9.70838085254827,"5 July 2018",-1.06628,-77.61932,52,38,16,73,100,"poor","",1551.95,125.229537187632,"Control",7.5,0.8750612633917,1.11111111111111,0.0457574905606751,7.5,0.8750612633917,3,3,20,0.0011978004819682,3.23612695084942,0.00129207814047924,-2.88871122089762,3.19087772525085,-2.92161551650136
"20","Ex_11",9.70838085254827,"5 July 2018",-1.06628,-77.61932,52,38,16,73,100,"poor","",1551.95,125.229537187632,"Experimental",NA,NA,1.11111111111111,0.0457574905606751,7.5,0.8750612633917,3,3,20,0.0011978004819682,3.23612695084942,0.00129207814047924,-2.88871122089762,3.19087772525085,-2.92161551650136
"21","Ex_12",303.35076038302,"24 July 2018",-1.04573,-77.71194,90,65,30,18,250,"fair","",4594.58,654.034082450656,"Control",8.31578947368421,0.919903486001594,4.84615384615385,0.685397197146745,7.56,0.878521795501206,20,20,20,0.00152897230715105,15.167538019151,0.00115953727994713,-2.93571528392547,3.66224581778544,-2.81560038048722
"22","Ex_12",303.35076038302,"24 July 2018",-1.04573,-77.71194,90,65,30,18,250,"fair","",4594.58,654.034082450656,"Experimental",5.16666666666667,0.713210443450629,4.84615384615385,0.685397197146745,7.56,0.878521795501206,20,20,18,0.00169885811905672,15.167538019151,0.00128837475549681,-2.8899577933648,3.66224581778544,-2.76984288992655
"23","Iy_01",7.55842619377335,"19 July 2018",-1.06617,-77.6166,35,32,25,87,155,"good","",879.65,52.7453269128992,"Experimental",NA,NA,1.95,0.290034611362518,3.25,0.511883360978874,12,12,18,0.0126393503592757,0.629868849481113,0.000663427755748806,-3.17820636290941,2.94430990703134,-1.89827524746442
"24","Iy_01",7.55842619377335,"19 July 2018",-1.06617,-77.6166,35,32,25,87,155,"good","",879.65,52.7453269128992,"Control",3.25,0.511883360978874,1.95,0.290034611362518,3.25,0.511883360978874,12,12,18,0.0126393503592757,0.629868849481113,0.000663427755748806,-3.17820636290941,2.94430990703134,-1.89827524746442
"25","Iy_02",3.98400319384728,"19 July 2018",-1.06617,-77.6166,22,15,8,55,80,"good","",259.18,8.20191119016515,"Experimental",5,0.698970004336019,1.07692307692308,0.0321846833714012,5.6,0.7481880270062,4,4,18,0.0270939561609357,0.996000798461821,0.00674640049244537,-2.17092788098015,2.41360148552896,-1.56712757623595
"26","Iy_02",3.98400319384728,"19 July 2018",-1.06617,-77.6166,22,15,8,55,80,"good","",259.18,8.20191119016515,"Control",6.5,0.812913356642856,1.07692307692308,0.0321846833714012,5.6,0.7481880270062,4,4,18,0.0270939561609357,0.996000798461821,0.00674640049244537,-2.17092788098015,2.41360148552896,-1.56712757623595
"27","Iy_03",16.1271085904643,"19 July 2018",-1.06617,-77.6166,50,30,25,110,150,"good","",1178.1,82.3020065479497,"Control",10,1,1.33333333333333,0.1249387366083,10,1,2,2,18,0.00135004133886307,8.06355429523215,0.00544306581836513,-2.26415641409741,3.07118215599008,-2.86965293301222
"28","Iy_05",107.924680344147,"17 July 2018",-1.04573,-77.71199,33,32,47,140,200,"poor","",829.38,48.2238266465109,"Control",10,1,4.21428571428571,0.624723975963906,7.86666666666667,0.895790748250444,14,14,20,0.0145156460753545,7.70890573886765,0.00799283909526226,-2.09729892977291,2.91875355840398,-1.838163629435
"29","Iy_05",107.924680344147,"17 July 2018",-1.04573,-77.71199,33,32,47,140,200,"poor","",829.38,48.2238266465109,"Experimental",7.33333333333333,0.865301426102544,4.21428571428571,0.624723975963906,7.86666666666667,0.895790748250444,14,14,20,0.0145156460753545,7.70890573886765,0.00799283909526226,-2.09729892977291,2.91875355840398,-1.838163629435
"30","Iy_06",4.7881139886804,"17 July 2018",-1.04573,-77.71199,19,13,17,80,35,"poor","",193.99,5.27579533405807,"Experimental",2,0.301029995663981,0.541666666666667,-0.266267889404769,4.33333333333333,0.636822097587174,2,2,20,0.0189544881232308,2.3940569943402,0.0226890624327794,-1.64418344984812,2.28777934303974,-1.72228793944952
"31","Iy_06",4.7881139886804,"17 July 2018",-1.04573,-77.71199,19,13,17,80,35,"poor","",193.99,5.27579533405807,"Control",5.5,0.740362689494244,0.541666666666667,-0.266267889404769,4.33333333333333,0.636822097587174,2,2,20,0.0189544881232308,2.3940569943402,0.0226890624327794,-1.64418344984812,2.28777934303974,-1.72228793944952
"32","Iy_07",10.2028581302693,"17 July 2018",-1.04577,-77.71193,52,23,12,70,100,"good","",939.34,58.2920259106861,"Control",3.6,0.556302500767287,1.96428571428571,0.293204658152025,4.23076923076923,0.626419337187407,9,9,20,0.00771975228120363,1.13365090336326,0.000972389349703007,-3.01215980650347,2.97282281633147,-2.11239663549748
"33","Iy_07",10.2028581302693,"17 July 2018",-1.04577,-77.71193,52,23,12,70,100,"good","",939.34,58.2920259106861,"Experimental",6.33333333333333,0.801632346233166,1.96428571428571,0.293204658152025,4.23076923076923,0.626419337187407,9,9,20,0.00771975228120363,1.13365090336326,0.000972389349703007,-3.01215980650347,2.97282281633147,-2.11239663549748
"34","Iy_08",25.629031310826,"17 July 2018",-1.04579,-77.71176,30,23,13,150,50,"poor","",541.92,25.2222181755201,"Experimental",5.66666666666667,0.753327666658612,2.46153846153846,0.391206626013069,7.11111111111111,0.851937464544562,5,5,20,0.00991189586341151,5.12580626216521,0.0101612915773208,-1.99305108641696,2.73393517930056,-2.00384326940271
"35","Iy_08",25.629031310826,"17 July 2018",-1.04579,-77.71176,30,23,13,150,50,"poor","",541.92,25.2222181755201,"Control",7.83333333333333,0.893946607552074,2.46153846153846,0.391206626013069,7.11111111111111,0.851937464544562,5,5,20,0.00991189586341151,5.12580626216521,0.0101612915773208,-1.99305108641696,2.73393517930056,-2.00384326940271
"36","Iy_11",720.372354141466,"17 July 2018",-1.04619,-77.71187,122,62,25,20,300,"fair","",5940.75,967.297943350186,"Control",6,0.778151250383644,6.11627906976744,0.786487292910171,8.76666666666667,0.942834493770095,30,30,20,0.00155071145381001,24.0124118047155,0.0012412107339725,-2.90615447729922,3.77384127668153,-2.80946900533028
"37","Iy_11",720.372354141466,"17 July 2018",-1.04619,-77.71187,122,62,25,20,300,"fair","",5940.75,967.297943350186,"Experimental",9.95238095238095,0.997926991377135,6.11627906976744,0.786487292910171,8.76666666666667,0.942834493770095,30,30,20,0.00155071145381001,24.0124118047155,0.0012412107339725,-2.90615447729922,3.77384127668153,-2.80946900533028
